RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note,,,
Aramco_4202919942,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBRylN6j&awcharset=UTF-8,"Alsaeedi, Tariq",03/03/2020 10:06 AM,03/09/2020 04:45 PM,RFP,,No,,,,,
Aramco_4202931906,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBYo0mb6&awcharset=UTF-8,"Muhaisin, Hind",05/03/2020 09:20 AM,04/21/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202961314,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBkAk0K4&awcharset=UTF-8,"Almatar, Ghezlan B",09/03/2020 03:32 PM,09/16/2020 04:00 PM,RFP,,No,,,,,
Aramco_4202884928,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBPwGqmA&awcharset=UTF-8,"Kharraz, Saleh",02/04/2020 07:19 PM,02/06/2020 01:30 PM,RFP,,No,,,,,
Aramco_4202941871,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBY4cG%21q&awcharset=UTF-8,"Muhaisin, Hind",05/04/2020 04:50 PM,06/04/2020 04:00 PM,RFP,,Yes,,,,,
Aramco_4202942832,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBaByj7n&awcharset=UTF-8,"Alqahtani, Asma",06/04/2020 01:48 PM,06/03/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202957843,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBeEa2EK&awcharset=UTF-8,"Alsaeedi, Tariq",08/04/2020 04:33 PM,08/16/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202960424,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBmbBTPy&awcharset=UTF-8,"Alqahtani, Asma",10/04/2020 12:50 PM,10/08/2020 05:30 PM,RFP,,Yes,,,,,
Aramco_4202911838,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBOuXwGH&awcharset=UTF-8,"Aldossary, Meaad",02/05/2020 07:04 AM,02/05/2020 10:30 PM,RFP,,No,,,,,
Aramco_4202966982,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBmiQ4r%21&awcharset=UTF-8,"Muhaisin, Hind",10/05/2020 09:45 AM,10/04/2020 06:00 PM,RFP,,Yes,,,,,
Aramco_4202969844,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBmcOVBb&awcharset=UTF-8,"Zowayed, Abdullah J",10/05/2020 11:47 AM,10/11/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202907842,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBPtY26m&awcharset=UTF-8,"Jindan, Hassan",02/06/2020 01:34 PM,02/11/2020 01:30 PM,RFP,,No,,,,,
Aramco_4202925637,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBX2FUqb&awcharset=UTF-8,"Jameel, Majed",04/06/2020 11:58 AM,04/13/2020 04:30 PM,RFP,,No,,,,,
Aramco_4202936077,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBZAB46W&awcharset=UTF-8,"Adab, Abdulmohsen",05/06/2020 11:51 AM,05/05/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202942083,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBaOFwcL&awcharset=UTF-8,"Alsaeedi, Tariq",06/06/2020 10:30 PM,06/11/2020 07:30 PM,RFP,,No,,,,,
