Company_Name,RFP_ID,End_Time,Event_Type,Participated,Doc_ID
Aramco e-Marketplace,Aramco_4203203343_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,01/27/2025 07:30 PM,RFP,No,Doc185195942
Aramco e-Marketplace,"Aramco_4203183361_MONITOR; FOR DESKTOP, LAPTOP IT WORKST",08/20/2024 07:30 PM,RFP,No,Doc162448271
Aramco e-Marketplace,"Aramco_4203180758_WIRE, ELECTRICAL 6 MM2, 1 CONDUCTOR,",2024-12-08 19:30:00,RFP,No,Doc160452745
Aramco e-Marketplace,Aramco_4203166795_WIRE 750V NYA 1 C 6MM2 (10 AWG) STR CU,07/31/2024 07:30 PM,RFP,No,Doc147164046
Aramco e-Marketplace,Aramco_4203166781_WIRE 750V NYA 1 C 6MM2 (10 AWG) STR CU,06/26/2024 07:30 PM,RFP,No,Doc147157490
Aramco e-Marketplace,"Aramco_4203174309_CABLE, ELECTRICAL, LOW VOLTAGE",06/23/2024 07:30 PM,RFP,No,Doc154503703
Aramco e-Marketplace,"Aramco_4203162533_WIRE, ELECTRICAL 4 MM2, 3 CONDUCTOR,",06/16/2024 07:30 PM,RFP,No,Doc143913966
Aramco e-Marketplace,Aramco_4203173303_CABLE INSTRUMENTATION THERMOCOUPLE,2024-06-06 19:30:00,RFP,No,Doc153713024
Aramco e-Marketplace,"Aramco_4203171931_CABLE, POWER, 5KV THROUGH 35 KV",05/29/2024 03:00 PM,RFP,No,Doc152685310
Aramco e-Marketplace,Aramco_4203168767_WIRE 750V NYA 1 C 6MM2 (10 AWG) STR CU,05/15/2024 07:30 PM,RFP,No,Doc149333026
Aramco e-Marketplace,Aramco_4203168039_ACCESSORY; LIGHTNING GROUNDING,2024-06-05 19:30:00,RFP,No,Doc148912725
Aramco e-Marketplace,Aramco_4203163289_CABLE TRAY; Aluminum OR STEEL,2024-09-04 19:30:00,RFP,No,Doc144355113
Aramco e-Marketplace,"Aramco_4203145517_WIRE BUILDING, 450-750V;",2023-11-12 19:30:00,RFP,No,Doc126450257
Aramco e-Marketplace,Aramco_4203134951_1 x 120sq mm CU XLPE AWA PVC,10/18/2023 07:30 PM,RFP,No,Doc116991847
Aramco e-Marketplace,Aramco_4203079858,2022-09-11 16:15:00,RFP,No,Doc73185088
Aramco e-Marketplace,Aramco_4203080664,2022-08-11 19:30:00,RFP,No,Doc73647982
Aramco e-Marketplace,Aramco_4203076363,10/16/2022 07:30 PM,RFP,No,Doc71739290
Aramco e-Marketplace,Aramco_4203049347,08/22/2022 07:30 PM,RFP,No,Doc60496841
Aramco e-Marketplace,Aramco_4203051289,2022-05-05 19:30:00,RFP,No,Doc61097504
Aramco e-Marketplace,Aramco_4203040447,03/16/2022 07:30 PM,RFP,No,Doc56625358
Aramco e-Marketplace,Aramco_4203034316,02/22/2022 05:00 PM,RFP,Declined,Doc53564282
Aramco e-Marketplace,Aramco_4203040512,02/15/2022 07:30 PM,RFP,No,Doc56657643
Aramco e-Marketplace,Aramco_4203038077,01/30/2022 07:30 PM,RFP,No,Doc55275407
Aramco e-Marketplace,Aramco_4203029564,11/22/2021 07:30 PM,RFP,No,Doc50000697
Aramco e-Marketplace,Aramco_4203010172,2021-08-08 16:30:00,RFP,No,Doc41797230
Aramco e-Marketplace,Aramco_4203012648,2021-12-07 17:30:00,RFP,No,Doc42726051
Aramco e-Marketplace,Aramco_4203003164,04/27/2021 05:30 PM,RFP,No,Doc39554247
Aramco e-Marketplace,Aramco_4202950904,2020-08-07 18:00:00,RFP,No,Doc22341505
Aramco e-Marketplace,Aramco_4202851112,2019-04-09 19:00:00,RFP,No,Doc12590503
