timestamp,rfp_id,record_id,field,old_value,new_value,diff_status,result
2026-05-13 18:44:44,SEC RFP - C001687717,98184e01-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH9SrxTI&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001687717,98184e01-de28-f111-88b4-6045bd13d56f,owner_name,,Abdulaziz Ali Al-Warthan,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001687717,98184e01-de28-f111-88b4-6045bd13d56f,publish_time,,10/6/2025 4:33 AM,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001687717,98184e01-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001683688,f5184e01-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH4yufdO&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001683688,f5184e01-de28-f111-88b4-6045bd13d56f,owner_name,MYASSER ABDULWAHED MOHAMMED ALTAYEB ALMORRAKSHI,HATAM ABDULLAH SALEH ALMOSHAN,WRONG,OK
2026-05-13 18:44:44,SEC RFP - C001683688,f5184e01-de28-f111-88b4-6045bd13d56f,publish_time,,9/25/2025 2:30 AM,MISSING,OK
2026-05-13 18:44:44,SEC RFP - C001683688,f5184e01-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
2026-05-13 18:44:45,SEC RFP-C001681009,0a194e01-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH2SpYgC&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:45,SEC RFP-C001681009,0a194e01-de28-f111-88b4-6045bd13d56f,owner_name,,Mansour H. Al-Omry,MISSING,OK
2026-05-13 18:44:45,SEC RFP-C001681009,0a194e01-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
2026-05-13 18:44:46,SEC RFP- C001681610 - 6001681610,21194e01-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH3HIBrq&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:46,SEC RFP- C001681610 - 6001681610,21194e01-de28-f111-88b4-6045bd13d56f,publish_time,,9/21/2025 1:24 AM,MISSING,OK
2026-05-13 18:44:46,SEC RFP- C001681610 - 6001681610,21194e01-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
2026-05-13 18:44:46,SEC RFP C001678225,fc205007-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH4rTd2y&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:46,SEC RFP C001678225,fc205007-de28-f111-88b4-6045bd13d56f,owner_name,,Ayman A AlMramhi,MISSING,OK
2026-05-13 18:44:46,SEC RFP C001678225,fc205007-de28-f111-88b4-6045bd13d56f,publish_time,,9/24/2025 11:16 PM,MISSING,OK
2026-05-13 18:44:46,SEC RFP C001678225,fc205007-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
2026-05-13 18:44:47,SEC RFP-C001681613 - 6001681613,0e215007-de28-f111-88b4-6045bd13d56f,Link,,https://sec.supplier.mn2.ariba.com/ad/webjumper?itemID=Jio8AOPH3HYbll&awcharset=UTF-8,MISSING,OK
2026-05-13 18:44:47,SEC RFP-C001681613 - 6001681613,0e215007-de28-f111-88b4-6045bd13d56f,owner_name,Ayman A AlMramhi,KHALED SAEED SALEH AL AMOUDI,WRONG,OK
2026-05-13 18:44:47,SEC RFP-C001681613 - 6001681613,0e215007-de28-f111-88b4-6045bd13d56f,publish_time,,9/21/2025 1:29 AM,MISSING,OK
2026-05-13 18:44:47,SEC RFP-C001681613 - 6001681613,0e215007-de28-f111-88b4-6045bd13d56f,rfp_type,,RFP,MISSING,OK
